arron,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
41000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
11000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
81000,3,0,2,0,2,0,4,0,1,0,2,2,0,2,0,1,0,4,4,1,0,1,2,8,0,0,4,0,1,0,7,0,1,0,2,2,2,0,4,2,5
51000,1,0,0,0,2,0,4,0,1,0,2,0,0,2,0,1,0,4,6,2,0,1,2,7,0,0,3,1,1,0,3,0,1,0,1,1,1,0,2,2,5
45000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
82000,3,0,2,0,2,0,4,0,1,0,2,2,0,2,0,1,0,4,4,1,0,1,2,8,0,0,4,0,1,0,7,0,1,0,2,2,2,0,4,2,5
31000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
21000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
52000,1,0,0,0,2,0,4,0,1,0,2,0,0,2,0,1,0,4,6,2,0,1,2,7,0,0,3,1,1,0,3,0,1,0,1,1,1,0,2,2,5
34000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
42000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
32000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
91000,3,0,2,0,2,0,4,0,1,0,2,0,0,2,0,1,0,4,4,1,0,1,2,7,0,0,3,1,4,0,3,0,1,0,1,2,1,0,2,2,5
43000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
44000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
23000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
71000,3,0,3,0,3,0,4,0,1,0,2,1,0,2,0,1,0,4,2,1,0,1,2,7,1,0,3,0,3,3,4,0,1,0,0,2,1,1,5,2,5
61000,3,0,2,0,2,0,4,0,1,0,2,2,0,2,0,1,0,4,4,1,0,1,2,8,0,0,4,0,1,0,7,0,1,0,2,2,2,0,4,2,5
58000,1,0,0,0,2,0,4,0,1,0,2,0,0,2,0,1,0,4,6,2,0,1,2,7,0,0,3,1,1,0,3,0,1,0,1,1,1,0,2,2,5
24000,3,0,2,0,2,0,4,0,1,0,2,0,0,2,0,1,0,4,5,1,0,1,2,6,0,0,3,0,1,1,5,0,1,0,0,2,1,1,2,2,5
62000,3,0,2,0,2,0,4,0,1,0,2,2,0,2,0,1,0,4,4,1,0,1,2,8,0,0,4,0,1,0,7,0,1,0,2,2,2,0,4,2,5
72000,3,0,3,0,3,0,4,0,1,0,2,1,0,2,0,1,0,4,2,1,0,1,2,7,1,0,3,0,3,3,4,0,1,0,0,2,1,1,5,2,5
83000,3,0,2,0,2,0,4,0,1,0,2,2,0,2,0,1,0,4,4,1,0,1,2,8,0,0,4,0,1,0,7,0,1,0,2,2,2,0,4,2,5
12000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
53000,1,0,0,0,2,0,4,0,1,0,2,0,0,2,0,1,0,4,6,2,0,1,2,7,0,0,3,1,1,0,3,0,1,0,1,1,1,0,2,2,5
54000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
92000,3,0,2,0,2,0,4,0,1,0,2,0,0,2,0,1,0,4,4,1,0,1,2,7,0,0,3,1,4,0,3,0,1,0,1,2,1,0,2,2,5
84000,3,0,2,0,2,0,4,0,1,0,2,2,0,2,0,1,0,4,4,1,0,1,2,8,0,0,4,0,1,0,7,0,1,0,2,2,2,0,4,2,5
25000,1,0,0,0,2,0,4,0,1,0,2,0,0,2,0,1,0,4,6,2,0,1,2,7,0,0,3,1,1,0,3,0,1,0,1,1,1,0,2,2,5
35000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
93000,1,0,0,0,2,0,4,0,1,0,2,0,0,2,0,1,0,4,6,2,0,1,2,7,0,0,3,1,1,0,3,0,1,0,1,1,1,0,2,2,5
36000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
46000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
55000,1,0,0,0,2,0,4,0,1,0,2,0,0,2,0,1,0,4,6,2,0,1,2,7,0,0,3,1,1,0,3,0,1,0,1,1,1,0,2,2,5
56000,1,0,0,0,2,0,4,0,1,0,2,0,0,2,0,1,0,4,6,2,0,1,2,7,0,0,3,1,1,0,3,0,1,0,1,1,1,0,2,2,5
37000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
73000,3,0,2,0,2,0,4,0,1,0,2,2,0,2,0,1,0,4,4,1,0,1,2,8,0,0,4,0,1,0,7,0,1,0,2,2,2,0,4,2,5
57000,1,0,0,0,2,0,4,0,1,0,2,0,0,2,0,1,0,4,6,2,0,1,2,7,0,0,3,1,1,0,3,0,1,0,1,1,1,0,2,2,5
13000,3,0,2,0,2,0,4,0,1,0,2,0,0,2,0,1,0,4,5,1,0,1,2,6,0,0,3,0,1,1,5,0,1,0,0,2,1,1,2,2,5
63000,3,0,2,0,2,0,4,0,1,0,2,2,0,2,0,1,0,4,4,1,0,1,2,8,0,0,4,0,1,0,7,0,1,0,2,2,2,0,4,2,5
38000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
85000,3,0,2,0,2,0,4,0,1,0,2,2,0,2,0,1,0,4,4,1,0,1,2,8,0,0,4,0,1,0,7,0,1,0,2,2,2,0,4,2,5
64000,3,0,2,0,2,0,4,0,1,0,2,2,0,2,0,1,0,4,4,1,0,1,2,8,0,0,4,0,1,0,7,0,1,0,2,2,2,0,4,2,5
33000,1,0,0,0,2,0,4,0,1,0,2,0,0,1,0,1,0,4,5,2,0,1,2,7,0,0,4,0,1,0,3,0,1,3,0,1,1,1,1,3,5
