YEAR,YEAR_WEEK,COD,ARRON,N_DEATHS,WEEK
2000,2000-001,natural,11000,31.0,1
2000,2000-001,natural,12000,10.0,1
2000,2000-001,natural,13000,14.0,1
2000,2000-001,natural,21000,43.0,1
2000,2000-001,natural,23000,14.0,1
2000,2000-001,natural,24000,20.0,1
2000,2000-001,natural,25000,15.0,1
2000,2000-001,natural,31000,14.0,1
2000,2000-001,natural,32000,,1
2000,2000-001,natural,33000,6.0,1
2000,2000-001,natural,34000,10.0,1
2000,2000-001,natural,35000,7.0,1
2000,2000-001,natural,36000,5.0,1
2000,2000-001,natural,37000,6.0,1
2000,2000-001,natural,38000,4.0,1
2000,2000-001,natural,41000,5.0,1
2000,2000-001,natural,42000,6.0,1
2000,2000-001,natural,43000,4.0,1
2000,2000-001,natural,44000,12.0,1
2000,2000-001,natural,45000,4.0,1
2000,2000-001,natural,46000,9.0,1
2000,2000-001,natural,51000,,1
2000,2000-001,natural,52000,19.0,1
2000,2000-001,natural,53000,7.0,1
2000,2000-001,natural,55000,10.0,1
2000,2000-001,natural,56000,4.0,1
2000,2000-001,natural,57000,5.0,1
2000,2000-001,natural,61000,,1
2000,2000-001,natural,62000,30.0,1
2000,2000-001,natural,63000,15.0,1
2000,2000-001,natural,71000,11.0,1
2000,2000-001,natural,72000,8.0,1
2000,2000-001,natural,73000,9.0,1
2000,2000-001,natural,81000,,1
2000,2000-001,natural,82000,4.0,1
2000,2000-001,natural,83000,,1
2000,2000-001,natural,84000,,1
2000,2000-001,natural,85000,,1
2000,2000-001,natural,91000,7.0,1
2000,2000-001,natural,92000,13.0,1
2000,2000-001,natural,93000,,1
2000,2000-002,natural,11000,263.0,2
2000,2000-002,natural,12000,80.0,2
2000,2000-002,natural,13000,71.0,2
2000,2000-002,natural,21000,279.0,2
2000,2000-002,natural,23000,131.0,2
2000,2000-002,natural,24000,105.0,2
2000,2000-002,natural,25000,80.0,2
2000,2000-002,natural,31000,60.0,2
2000,2000-002,natural,32000,9.0,2
2000,2000-002,natural,33000,14.0,2
2000,2000-002,natural,34000,74.0,2
2000,2000-002,natural,35000,43.0,2
2000,2000-002,natural,36000,41.0,2
2000,2000-002,natural,37000,24.0,2
2000,2000-002,natural,38000,21.0,2
2000,2000-002,natural,41000,71.0,2
2000,2000-002,natural,42000,44.0,2
2000,2000-002,natural,43000,19.0,2
2000,2000-002,natural,44000,103.0,2
2000,2000-002,natural,45000,27.0,2
2000,2000-002,natural,46000,59.0,2
2000,2000-002,natural,51000,20.0,2
2000,2000-002,natural,52000,137.0,2
2000,2000-002,natural,53000,82.0,2
2000,2000-002,natural,54000,19.0,2
2000,2000-002,natural,55000,45.0,2
2000,2000-002,natural,56000,60.0,2
2000,2000-002,natural,57000,33.0,2
2000,2000-002,natural,61000,34.0,2
2000,2000-002,natural,62000,201.0,2
2000,2000-002,natural,63000,86.0,2
2000,2000-002,natural,64000,22.0,2
2000,2000-002,natural,71000,72.0,2
2000,2000-002,natural,72000,42.0,2
2000,2000-002,natural,73000,40.0,2
2000,2000-002,natural,81000,14.0,2
2000,2000-002,natural,82000,13.0,2
2000,2000-002,natural,83000,7.0,2
2000,2000-002,natural,84000,14.0,2
2000,2000-002,natural,85000,7.0,2
2000,2000-002,natural,91000,26.0,2
2000,2000-002,natural,92000,100.0,2
2000,2000-002,natural,93000,19.0,2
2000,2000-003,natural,11000,219.0,3
2000,2000-003,natural,12000,77.0,3
2000,2000-003,natural,13000,65.0,3
