YEAR,YEAR_WEEK,COD,ARRON,N_MASK
2000,2000-001,external,11000,NA
2000,2000-001,external,12000,NA
2000,2000-001,external,13000,NA
2000,2000-001,external,21000,NA
2000,2000-001,external,23000,NA
2000,2000-001,external,24000,5
2000,2000-001,external,31000,NA
2000,2000-001,external,34000,NA
2000,2000-001,external,35000,NA
2000,2000-001,external,44000,NA
2000,2000-001,external,52000,NA
2000,2000-001,external,62000,NA
2000,2000-001,external,63000,NA
2000,2000-001,external,71000,NA
2000,2000-001,external,72000,NA
2000,2000-001,external,91000,NA
2000,2000-001,external,92000,NA
2000,2000-001,natural,11000,31
2000,2000-001,natural,12000,10
2000,2000-001,natural,13000,14
2000,2000-001,natural,21000,43
2000,2000-001,natural,23000,14
2000,2000-001,natural,24000,20
2000,2000-001,natural,25000,15
2000,2000-001,natural,31000,14
2000,2000-001,natural,32000,NA
2000,2000-001,natural,33000,6
2000,2000-001,natural,34000,10
2000,2000-001,natural,35000,7
2000,2000-001,natural,36000,5
2000,2000-001,natural,37000,6
2000,2000-001,natural,38000,4
2000,2000-001,natural,41000,5
2000,2000-001,natural,42000,6
2000,2000-001,natural,43000,4
2000,2000-001,natural,44000,12
2000,2000-001,natural,45000,4
2000,2000-001,natural,46000,9
2000,2000-001,natural,51000,NA
2000,2000-001,natural,52000,19
2000,2000-001,natural,53000,7
2000,2000-001,natural,55000,10
2000,2000-001,natural,56000,4
2000,2000-001,natural,57000,5
2000,2000-001,natural,61000,NA
2000,2000-001,natural,62000,30
2000,2000-001,natural,63000,15
2000,2000-001,natural,71000,11
2000,2000-001,natural,72000,8
2000,2000-001,natural,73000,9
2000,2000-001,natural,81000,NA
2000,2000-001,natural,82000,4
2000,2000-001,natural,83000,NA
2000,2000-001,natural,84000,NA
2000,2000-001,natural,85000,NA
2000,2000-001,natural,91000,7
2000,2000-001,natural,92000,13
2000,2000-001,natural,93000,NA
2000,2000-002,external,11000,13
2000,2000-002,external,12000,NA
2000,2000-002,external,13000,4
2000,2000-002,external,21000,20
2000,2000-002,external,23000,6
2000,2000-002,external,24000,4
2000,2000-002,external,25000,4
2000,2000-002,external,31000,NA
2000,2000-002,external,32000,NA
2000,2000-002,external,33000,NA
2000,2000-002,external,34000,NA
