,YEAR,ARRON,WEEK,population_t,YEAR_WEEK,Nom_arrondissement,heatwave_week_boolean,COD_y,N_MASK
0,2000,11000,1,932103.0,2000-001,Antwerpen,0,natural,31.0
1,2000,12000,1,305670.0,2000-001,Mechelen,0,natural,10.0
2,2000,13000,1,406199.0,2000-001,Turnhout,0,natural,14.0
3,2000,21000,1,959318.0,2000-001,Bruxelles-Capitale,0,natural,43.0
4,2000,23000,1,558220.0,2000-001,Hal-Vilvorde,0,natural,14.0
5,2000,24000,1,456484.0,2000-001,Leuven,0,natural,20.0
6,2000,25000,1,349884.0,2000-001,Nivelles,0,natural,15.0
7,2000,31000,1,270866.0,2000-001,Brugge,0,natural,14.0
8,2000,32000,1,47992.0,2000-001,Diksmuide,0,natural,
9,2000,33000,1,104278.0,2000-001,Ypres,0,natural,6.0
10,2000,34000,1,278311.0,2000-001,Courtrai,0,natural,10.0
11,2000,35000,1,142430.0,2000-001,Oostende,0,natural,7.0
12,2000,36000,1,140465.0,2000-001,Roeselare,0,natural,5.0
13,2000,37000,1,88061.0,2000-001,Tielt,0,natural,6.0
14,2000,38000,1,56371.0,2000-001,Veurne,0,natural,4.0
15,2000,41000,1,262294.0,2000-001,Aalst,0,natural,5.0
16,2000,42000,1,186484.0,2000-001,Dendermonde,0,natural,6.0
17,2000,43000,1,79484.0,2000-001,Eeklo,0,natural,4.0
18,2000,44000,1,495368.0,2000-001,Gent,0,natural,12.0
19,2000,45000,1,114345.0,2000-001,Audenarde,0,natural,4.0
20,2000,46000,1,223648.0,2000-001,Sint-Niklaas,0,natural,9.0
21,2000,51000,1,79085.0,2000-001,Ath,0,natural,
22,2000,52000,1,421059.0,2000-001,Charleroi,0,natural,19.0
23,2000,53000,1,249334.0,2000-001,Mons,0,natural,7.0
24,2000,55000,1,173297.0,2000-001,Soignies,0,natural,10.0
25,2000,56000,1,146086.0,2000-001,Thuin,0,natural,4.0
26,2000,57000,1,140550.0,2000-001,Tournai et Mouscron,0,natural,5.0
27,2000,61000,1,100020.0,2000-001,Huy,0,natural,
28,2000,62000,1,585678.0,2000-001,Liège,0,natural,30.0
29,2000,63000,1,265546.0,2000-001,Verviers,0,natural,15.0
30,2000,71000,1,382981.0,2000-001,Hasselt,0,natural,11.0
31,2000,72000,1,218733.0,2000-001,Maaseik,0,natural,8.0
32,2000,73000,1,189464.0,2000-001,Tongres,0,natural,9.0
33,2000,81000,1,51902.0,2000-001,Arlon,0,natural,
34,2000,82000,1,40574.0,2000-001,Bastogne,0,natural,4.0
35,2000,83000,1,50359.0,2000-001,Marche-en-Famenne,0,natural,
36,2000,84000,1,55598.0,2000-001,Neufchâteau,0,natural,
37,2000,85000,1,48387.0,2000-001,Virton,0,natural,
38,2000,91000,1,99683.0,2000-001,Dinant,0,natural,7.0
39,2000,92000,1,282727.0,2000-001,Namur,0,natural,13.0
40,2000,93000,1,61493.0,2000-001,Philippeville,0,natural,
41,2000,11000,2,932093.0,2000-002,Antwerpen,0,natural,263.0
42,2000,12000,2,305683.0,2000-002,Mechelen,0,natural,80.0
43,2000,13000,2,406226.0,2000-002,Turnhout,0,natural,71.0
44,2000,21000,2,959412.0,2000-002,Bruxelles-Capitale,0,natural,279.0
45,2000,23000,2,558255.0,2000-002,Hal-Vilvorde,0,natural,131.0
46,2000,24000,2,456516.0,2000-002,Leuven,0,natural,105.0
47,2000,25000,2,349923.0,2000-002,Nivelles,0,natural,80.0
48,2000,31000,2,270876.0,2000-002,Brugge,0,natural,60.0
49,2000,32000,2,47993.0,2000-002,Diksmuide,0,natural,9.0
50,2000,33000,2,104278.0,2000-002,Ypres,0,natural,14.0
51,2000,34000,2,278301.0,2000-002,Courtrai,0,natural,74.0
52,2000,35000,2,142439.0,2000-002,Oostende,0,natural,43.0
53,2000,36000,2,140469.0,2000-002,Roeselare,0,natural,41.0
54,2000,37000,2,88060.0,2000-002,Tielt,0,natural,24.0
55,2000,38000,2,56378.0,2000-002,Veurne,0,natural,21.0
56,2000,41000,2,262294.0,2000-002,Aalst,0,natural,71.0
57,2000,42000,2,186485.0,2000-002,Dendermonde,0,natural,44.0
58,2000,43000,2,79482.0,2000-002,Eeklo,0,natural,19.0
59,2000,44000,2,495390.0,2000-002,Gent,0,natural,103.0
60,2000,45000,2,114345.0,2000-002,Audenarde,0,natural,27.0
61,2000,46000,2,223661.0,2000-002,Sint-Niklaas,0,natural,59.0
62,2000,51000,2,79090.0,2000-002,Ath,0,natural,20.0
63,2000,52000,2,421043.0,2000-002,Charleroi,0,natural,137.0
64,2000,53000,2,249330.0,2000-002,Mons,0,natural,82.0
65,2000,54000,2,70055.0,2000-002,Mouscron,0,natural,19.0
66,2000,55000,2,173312.0,2000-002,Soignies,0,natural,45.0
67,2000,56000,2,146089.0,2000-002,Thuin,0,natural,60.0
68,2000,57000,2,140552.0,2000-002,Tournai et Mouscron,0,natural,33.0
69,2000,61000,2,100029.0,2000-002,Huy,0,natural,34.0
70,2000,62000,2,585654.0,2000-002,Liège,0,natural,201.0
71,2000,63000,2,265560.0,2000-002,Verviers,0,natural,86.0
72,2000,64000,2,68208.0,2000-002,Waremme,0,natural,22.0
73,2000,71000,2,383009.0,2000-002,Hasselt,0,natural,72.0
74,2000,72000,2,218760.0,2000-002,Maaseik,0,natural,42.0
75,2000,73000,2,189474.0,2000-002,Tongres,0,natural,40.0
76,2000,81000,2,51909.0,2000-002,Arlon,0,natural,14.0
77,2000,82000,2,40583.0,2000-002,Bastogne,0,natural,13.0
78,2000,83000,2,50369.0,2000-002,Marche-en-Famenne,0,natural,7.0
79,2000,84000,2,55600.0,2000-002,Neufchâteau,0,natural,14.0
80,2000,85000,2,48392.0,2000-002,Virton,0,natural,7.0
81,2000,91000,2,99694.0,2000-002,Dinant,0,natural,26.0
82,2000,92000,2,282746.0,2000-002,Namur,0,natural,100.0
83,2000,93000,2,61497.0,2000-002,Philippeville,0,natural,19.0
84,2000,11000,3,932083.0,2000-003,Antwerpen,0,natural,219.0
85,2000,12000,3,305697.0,2000-003,Mechelen,0,natural,77.0
86,2000,13000,3,406253.0,2000-003,Turnhout,0,natural,65.0
87,2000,21000,3,959506.0,2000-003,Bruxelles-Capitale,0,natural,254.0
88,2000,23000,3,558291.0,2000-003,Hal-Vilvorde,0,natural,142.0
89,2000,24000,3,456549.0,2000-003,Leuven,0,natural,93.0
90,2000,25000,3,349963.0,2000-003,Nivelles,0,natural,97.0
91,2000,31000,3,270887.0,2000-003,Brugge,0,natural,66.0
92,2000,32000,3,47995.0,2000-003,Diksmuide,0,natural,12.0
93,2000,33000,3,104279.0,2000-003,Ypres,0,natural,27.0
94,2000,34000,3,278291.0,2000-003,Courtrai,0,natural,79.0
95,2000,35000,3,142449.0,2000-003,Oostende,0,natural,48.0
96,2000,36000,3,140473.0,2000-003,Roeselare,0,natural,37.0
97,2000,37000,3,88060.0,2000-003,Tielt,0,natural,24.0
98,2000,38000,3,56385.0,2000-003,Veurne,0,natural,13.0
99,2000,41000,3,262295.0,2000-003,Aalst,0,natural,46.0
100,2000,42000,3,186486.0,2000-003,Dendermonde,0,natural,47.0
101,2000,43000,3,79481.0,2000-003,Eeklo,0,natural,24.0
102,2000,44000,3,495413.0,2000-003,Gent,0,natural,128.0
103,2000,45000,3,114346.0,2000-003,Audenarde,0,natural,33.0
104,2000,46000,3,223674.0,2000-003,Sint-Niklaas,0,natural,56.0
105,2000,51000,3,79095.0,2000-003,Ath,0,natural,19.0
106,2000,52000,3,421027.0,2000-003,Charleroi,0,natural,133.0
107,2000,53000,3,249327.0,2000-003,Mons,0,natural,67.0
108,2000,54000,3,70054.0,2000-003,Mouscron,0,natural,16.0
109,2000,55000,3,173328.0,2000-003,Soignies,0,natural,48.0
110,2000,56000,3,146092.0,2000-003,Thuin,0,natural,55.0
111,2000,57000,3,140554.0,2000-003,Tournai et Mouscron,0,natural,45.0
112,2000,61000,3,100039.0,2000-003,Huy,0,natural,27.0
113,2000,62000,3,585630.0,2000-003,Liège,0,natural,192.0
114,2000,63000,3,265575.0,2000-003,Verviers,0,natural,59.0
115,2000,64000,3,68219.0,2000-003,Waremme,0,natural,13.0
116,2000,71000,3,383037.0,2000-003,Hasselt,0,natural,66.0
117,2000,72000,3,218788.0,2000-003,Maaseik,0,natural,45.0
118,2000,73000,3,189485.0,2000-003,Tongres,0,natural,31.0
119,2000,81000,3,51916.0,2000-003,Arlon,0,natural,13.0
120,2000,82000,3,40593.0,2000-003,Bastogne,0,natural,11.0
121,2000,83000,3,50379.0,2000-003,Marche-en-Famenne,0,natural,12.0
122,2000,84000,3,55603.0,2000-003,Neufchâteau,0,natural,15.0
123,2000,85000,3,48398.0,2000-003,Virton,0,natural,14.0
124,2000,91000,3,99705.0,2000-003,Dinant,0,natural,23.0
125,2000,92000,3,282766.0,2000-003,Namur,0,natural,83.0
126,2000,93000,3,61501.0,2000-003,Philippeville,0,natural,28.0
127,2000,11000,4,932073.0,2000-004,Antwerpen,0,natural,226.0
128,2000,12000,4,305711.0,2000-004,Mechelen,0,natural,81.0
129,2000,13000,4,406280.0,2000-004,Turnhout,0,natural,78.0
130,2000,21000,4,959600.0,2000-004,Bruxelles-Capitale,0,natural,275.0
131,2000,23000,4,558326.0,2000-004,Hal-Vilvorde,0,natural,123.0
132,2000,24000,4,456582.0,2000-004,Leuven,0,natural,90.0
133,2000,25000,4,350002.0,2000-004,Nivelles,0,natural,75.0
134,2000,31000,4,270897.0,2000-004,Brugge,0,natural,60.0
135,2000,32000,4,47997.0,2000-004,Diksmuide,0,natural,10.0
136,2000,33000,4,104280.0,2000-004,Ypres,0,natural,26.0
137,2000,34000,4,278281.0,2000-004,Courtrai,0,natural,70.0
138,2000,35000,4,142458.0,2000-004,Oostende,0,natural,53.0
139,2000,36000,4,140477.0,2000-004,Roeselare,0,natural,30.0
140,2000,37000,4,88059.0,2000-004,Tielt,0,natural,22.0
141,2000,38000,4,56392.0,2000-004,Veurne,0,natural,12.0
142,2000,41000,4,262296.0,2000-004,Aalst,0,natural,72.0
143,2000,42000,4,186487.0,2000-004,Dendermonde,0,natural,53.0
144,2000,43000,4,79480.0,2000-004,Eeklo,0,natural,11.0
145,2000,44000,4,495436.0,2000-004,Gent,0,natural,122.0
146,2000,45000,4,114347.0,2000-004,Audenarde,0,natural,32.0
147,2000,46000,4,223687.0,2000-004,Sint-Niklaas,0,natural,54.0
148,2000,51000,4,79100.0,2000-004,Ath,0,natural,24.0
149,2000,52000,4,421012.0,2000-004,Charleroi,0,natural,128.0
150,2000,53000,4,249323.0,2000-004,Mons,0,natural,47.0
151,2000,54000,4,70053.0,2000-004,Mouscron,0,natural,24.0
152,2000,55000,4,173343.0,2000-004,Soignies,0,natural,42.0
153,2000,56000,4,146095.0,2000-004,Thuin,0,natural,39.0
154,2000,57000,4,140556.0,2000-004,Tournai et Mouscron,0,natural,44.0
155,2000,61000,4,100049.0,2000-004,Huy,0,natural,18.0
156,2000,62000,4,585606.0,2000-004,Liège,0,natural,175.0
157,2000,63000,4,265589.0,2000-004,Verviers,0,natural,69.0
158,2000,64000,4,68229.0,2000-004,Waremme,0,natural,17.0
159,2000,71000,4,383065.0,2000-004,Hasselt,0,natural,71.0
160,2000,72000,4,218816.0,2000-004,Maaseik,0,natural,40.0
161,2000,73000,4,189496.0,2000-004,Tongres,0,natural,33.0
162,2000,81000,4,51924.0,2000-004,Arlon,0,natural,9.0
163,2000,82000,4,40603.0,2000-004,Bastogne,0,natural,12.0
164,2000,83000,4,50389.0,2000-004,Marche-en-Famenne,0,natural,6.0
165,2000,84000,4,55606.0,2000-004,Neufchâteau,0,natural,14.0
166,2000,85000,4,48403.0,2000-004,Virton,0,natural,14.0
167,2000,91000,4,99717.0,2000-004,Dinant,0,natural,20.0
168,2000,92000,4,282786.0,2000-004,Namur,0,natural,64.0
169,2000,93000,4,61506.0,2000-004,Philippeville,0,natural,9.0
170,2000,11000,5,932063.0,2000-005,Antwerpen,0,natural,229.0
171,2000,12000,5,305725.0,2000-005,Mechelen,0,natural,71.0
172,2000,13000,5,406308.0,2000-005,Turnhout,0,natural,73.0
173,2000,21000,5,959694.0,2000-005,Bruxelles-Capitale,0,natural,231.0
174,2000,23000,5,558362.0,2000-005,Hal-Vilvorde,0,natural,142.0
175,2000,24000,5,456615.0,2000-005,Leuven,0,natural,108.0
176,2000,25000,5,350042.0,2000-005,Nivelles,0,natural,75.0
177,2000,31000,5,270908.0,2000-005,Brugge,0,natural,69.0
178,2000,32000,5,47998.0,2000-005,Diksmuide,0,natural,13.0
179,2000,33000,5,104281.0,2000-005,Ypres,0,natural,20.0
180,2000,34000,5,278272.0,2000-005,Courtrai,0,natural,68.0
181,2000,35000,5,142468.0,2000-005,Oostende,0,natural,39.0
182,2000,36000,5,140481.0,2000-005,Roeselare,0,natural,28.0
183,2000,37000,5,88059.0,2000-005,Tielt,0,natural,21.0
184,2000,38000,5,56399.0,2000-005,Veurne,0,natural,15.0
185,2000,41000,5,262297.0,2000-005,Aalst,0,natural,77.0
186,2000,42000,5,186489.0,2000-005,Dendermonde,0,natural,55.0
187,2000,43000,5,79479.0,2000-005,Eeklo,0,natural,29.0
188,2000,44000,5,495459.0,2000-005,Gent,0,natural,109.0
189,2000,45000,5,114348.0,2000-005,Audenarde,0,natural,38.0
190,2000,46000,5,223700.0,2000-005,Sint-Niklaas,0,natural,55.0
191,2000,51000,5,79106.0,2000-005,Ath,0,natural,14.0
192,2000,52000,5,420996.0,2000-005,Charleroi,0,natural,126.0
193,2000,53000,5,249320.0,2000-005,Mons,0,natural,90.0
194,2000,54000,5,70053.0,2000-005,Mouscron,0,natural,27.0
